num|DIRECCION|CALLE|COMUNA|REGION
1594|QUINTAMANI,0219,Metropolitana de Santiag|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1595|AVDA EL BOSQUE SUR,90,Metropolitana de S|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1596|LOS QUILLALLES,798,Lib. Gral. Bernardo O|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1597|AVENIDA GRECIA,606,Biobío|AVENIDA GRECIA|['HUALPEN']|BIO BIO
1598|BONILLA 2 PASAJE RAMON ANGEL JARA,410,Lo|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1599|RIO PILCOMALLO,3021,La Araucanía|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LA ARAUCANIA
1600|AVENIDA PROVIDENCIA, 111, 100, PROVIDENCIA, Metropolitana de Santiago|AVENIDA PROVIDENCIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1601|PICHIDANGUI, 1273, LAS CONDES, Metropolitana de Santiago|PICHIDANGUI|LAS CONDES|METROPOLITANA DE SANTIAGO
1602|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
1603|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1604|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1605|PICHIDANGUI, 1273, LAS CONDES, Metropolitana de Santiago|PICHIDANGUI|LAS CONDES|METROPOLITANA DE SANTIAGO
1606|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1607|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1608|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1609|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1610|PICHIDANGUI, 1273, LAS CONDES, Metropolitana de Santiago|PICHIDANGUI|LAS CONDES|METROPOLITANA DE SANTIAGO
1611|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1612|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1613|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1614|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1615|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
1616|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
1617|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1618|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
1619|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
1620|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
1621|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
1622|PICHIDANGUI, 1273, LAS CONDES, Metropolitana de Santiago|PICHIDANGUI|LAS CONDES|METROPOLITANA DE SANTIAGO
1623|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1624|AV ALESSANDRI,3,Valparaíso|ALESSANDRI|['VILLA ALEMANA', 'QUILPUE']|VALPARAISO
1625|AV ARTURO PRAT,867,Tarapacá|ARTURO PRAT|['PICA', 'HUARA', 'POZO ALMONTE']|TARAPACA
1626|BERNARDO ARGOMEDA,96,Coquimbo|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|COQUIMBO
1627|CALLE EL CARBON POB OHIGGINS,648,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1628|AVENIDA ERRAZURIZ,526,Lib. Gral. Bernard|AVENIDA ERRAZURIZ|['PERALILLO', 'SAN FERNANDO', 'SANTA CRUZ']|LIBERTADOR GENERAL BERNARDO O HIGGINS
1629|COCHRANE,862,Biobío|COCHRANE|['HUALQUI', 'CURANILAHUE', 'CONCEPCION', 'CORONEL', 'CHIGUAYANTE', 'TALCAHUANO', 'ARAUCO']|BIO BIO
1630|SIMON BOLIVAR,3440,Magallanes y de la An|SIMON BOLIVAR|['PUNTA ARENAS', 'NATALES']|MAGALLANES Y DE LA ANTARTICA CHILENA
1631|LAUTARO 940,0,Maule|LAUTARO|['CHANCO', 'SAGRADA FAMILIA', 'SAN JAVIER', 'MOLINA', 'SAN CLEMENTE', 'HUALANE', 'RAUCO', 'LICANTEN', 'SAN RAFAEL', 'CAUQUENES', 'LINARES']|MAULE
1632|PJE LAUQUETA 310,0,Metropolitana de Sant|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1633|HUMAPALCA PJE MANUEL CHANDIA,856,Tarapac|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1634|GRAN AVENIDA,6847,Metropolitana de Santi|GRAN AVENIDA|['PAINE']|METROPOLITANA DE SANTIAGO
1635|ARAUCO,1047,Los Lagos|ARAUCO|['OSORNO']|LOS LAGOS
1636|PJE DOS,15,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1637|LAS MERCEDES ESTERO DE PUANGUE PARCELA 3|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1638|PUENTE LLANOS,855,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1639|AMERICO VESPUCIO 1386,0,Metropolitana de|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1640|OIDOR SOLAR,8690,Metropolitana de Santia|OIDOR SOLAR|['PUDAHUEL']|METROPOLITANA DE SANTIAGO
1641|LEBU LANCE HUALPEN,355,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1642|7 ORIENTE,323,Biobío|SIETE ORIENTE|['CHIGUAYANTE', 'LOS ANGELES']|BIO BIO
1643|GENERAL MACKENA,593,OF 701,La Araucanía|GENERAL MACKENNA|['TEMUCO', 'ANGOL']|LA ARAUCANIA
1644|SAN JOSE DE LAS ROSAS,968,Metropolitana |SAN JOSE DE LAS ROSAS|['ESTACION CENTRAL']|METROPOLITANA DE SANTIAGO
1645|INCA DE ORO,7749,Metropolitana de Santia|INCA DE ORO|['MAIPU', 'LAS CONDES', 'LA GRANJA']|METROPOLITANA DE SANTIAGO
1646|PJE DOS,15,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1647|LAS MERCEDES ESTERO DE PUANGUE PARCELA 3|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1648|PUENTE LLANOS,855,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1649|PSJE LUIS IQUIER DUPRE,0457,Metropolitan|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1650|LOS ROBLES,525,La Araucanía|LOS ROBLES|['ANGOL', 'LOS SAUCES', 'VILCUN', 'RENAICO', 'ERCILLA', 'CURACAUTIN', 'TEODORO SCHMIDT', 'VILLARRICA', 'PUREN', 'VICTORIA', 'PADRE LAS CASAS', 'COLLIPULLI', 'TEMUCO', 'LONCOCHE', 'LONQUIMAY']|LA ARAUCANIA
1651|PJE GIRASOL,6386,Metropolitana de Santia|GIRASOL|['SAN JOAQUIN']|METROPOLITANA DE SANTIAGO
1652|4,77,Maule|CUATRO|['MOLINA']|MAULE
1653|CABO DE ORNO,1457,Metropolitana de Santi|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1654|PASAJE JOSE MANUEL BALMACEDA, 60, LA SERENA, Coquimbo|PASAJE JOSE MANUEL BALMACEDA|LA SERENA|COQUIMBO
1655|PSAJE BERMO,1465,Metropolitana de Santia|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1656|BALMACEDA,49,Valparaíso|BALMACEDA|['OLMUE', 'QUILPUE', 'QUILLOTA', 'SAN FELIPE', 'NOGALES', 'ALGARROBO', 'CATEMU', 'PETORCA', 'VINA DEL MAR', 'CARTAGENA', 'LIMACHE', 'CALERA', 'LOS ANDES', 'VALPARAISO', 'QUINTERO', 'VILLA ALEMANA']|VALPARAISO
1657|CLOTARIO BLEST,2845,Antofagasta|CLOTARIO BLEST|['CALAMA']|ANTOFAGASTA
1658|AV LA PALMA,220,Metropolitana de Santiag|LA PALMA|['MELIPILLA', 'LO BARNECHEA', 'CONCHALI', 'SAN BERNARDO', 'COLINA', 'PUENTE ALTO']|METROPOLITANA DE SANTIAGO
1659|YUNGAY UBLE,0,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1660|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1439, 34100359, ABarrio, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
1661|UNO SUR,9ORIENTE,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1662|ARQUEROS 1309,0,Atacama|LOS ARQUEROS|['DIEGO DE ALMAGRO']|ATACAMA
1663|HUERFANOS 1043,0,Metropolitana de Santia|HUERFANOS|['SANTIAGO', 'QUINTA NORMAL']|METROPOLITANA DE SANTIAGO
1664|RIO LONTUE,02630,La Araucanía|RIO LONTUE|['ANGOL', 'TEMUCO']|LA ARAUCANIA
1665|RIO GUADIANA,2250,Metropolitana de Santi|RIO GUADIANA|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1666|LA HERAS,25,Valparaíso|LAS HERAS|['VALPARAISO', 'QUILLOTA', 'LOS ANDES', 'PUCHUNCAVI', 'VINA DEL MAR', 'SAN FELIPE', 'CALERA']|VALPARAISO
1667|AVENIDA LA ESTRELLA,272,Metropolitana de|AVENIDA LA ESTRELLA|['CERRO NAVIA', 'PUDAHUEL']|METROPOLITANA DE SANTIAGO
1668|SERRANO,1199,Biobío|SERRANO|['LOTA', 'YUMBEL', 'TALCAHUANO', 'ARAUCO', 'LAJA', 'LOS ALAMOS', 'HUALQUI', 'CORONEL', 'QUILACO']|BIO BIO
1669|CATORCE NORTE,1137,Metropolitana de Sant|CATORCE NORTE|['INDEPENDENCIA', 'MACUL']|METROPOLITANA DE SANTIAGO
1670|PASAJE CASTELLON,1879,Metropolitana de S|PASAJE CASTELLON|['LA FLORIDA', 'PUENTE ALTO']|METROPOLITANA DE SANTIAGO
1671|QUILITAPIA,sn,Coquimbo|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|COQUIMBO
1672|MEXICO,2230,Metropolitana de Santiago|MEXICO|['PENALOLEN', 'LO ESPEJO', 'QUILICURA', 'INDEPENDENCIA', 'LAMPA', 'RENCA', 'CERRILLOS']|METROPOLITANA DE SANTIAGO
1673|LOMAS DE ORIENTE CALLE CENTRAL LOS PANIF|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1674|ZENTENO,816,casa 6,Metropolitana de Sant|ZENTENO|['SANTIAGO']|METROPOLITANA DE SANTIAGO
1675|AV PAUL HARRIS,1319,B,Metropolitana de S|PAUL HARRIS|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1676|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1677|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1678|PICHIDANGUI, 1273, LAS CONDES, Metropolitana de Santiago|PICHIDANGUI|LAS CONDES|METROPOLITANA DE SANTIAGO
1679|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1680|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1681|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1682|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1683|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1684|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1685|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1686|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1687|PICHIDANGUI, 1273, LAS CONDES, Metropolitana de Santiago|PICHIDANGUI|LAS CONDES|METROPOLITANA DE SANTIAGO
1688|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1689|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1690|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1691|NORMANDIA, 1965, 33200516, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1692|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1693|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1694|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1695|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1696|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
1697|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1698|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1699|INDEPENDENCIA,1499,Biobío|LA INDEPENDENCIA|['CONCEPCION']|BIO BIO
1700|GOLFO CORCOVADO,544,Valparaíso|GOLFO CORCOVADO|['VINA DEL MAR']|VALPARAISO
1701|SANTA FLORENCIA,2902,Metropolitana de Sa|SANTA FLORENCIA|['LA FLORIDA', 'SAN BERNARDO', 'QUILICURA']|METROPOLITANA DE SANTIAGO
1702|NEPTUNO,876,Metropolitana de Santiago|NEPTUNO|['ESTACION CENTRAL', 'SAN BERNARDO', 'PEDRO AGUIRRE CERDA', 'RECOLETA']|METROPOLITANA DE SANTIAGO
1703|EL CUADRO SITIO 46,sn,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
1704|LOS EDICTOS,0732,Metropolitana de Santia|LOS EDICTOS|['PUENTE ALTO']|METROPOLITANA DE SANTIAGO
1705|AVENIDA PRINCIPAL,81,Valparaíso|AVENIDA PRINCIPAL|['VINA DEL MAR', 'CONCON', 'VALPARAISO', 'QUILLOTA', 'EL QUISCO', 'PUCHUNCAVI']|VALPARAISO
1706|COPQUECURA,619,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1707|VOLCAN,1045,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
1708|AGUA DULCE DIEGO DE ALMAGRO,2213,Atacama|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|ATACAMA
1709|COMPANIA, 2520, LA SERENA, Coquimbo|COMPANIA|LA SERENA|COQUIMBO
1710|CLUB HIPICO,5638,Metropolitana de Santia|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1711|CRONISTA GONGORA,1312,Metropolitana de S|CRONISTA GONGORA|['INDEPENDENCIA']|METROPOLITANA DE SANTIAGO
1712|PASAJE RIO COLEGUAL,4933,Metropolitana d|PASAJE RIO COLEGUAL|['PUENTE ALTO']|METROPOLITANA DE SANTIAGO
1713|CAMINO TRONCAL, 7836, LA CRUZ, Valparaíso|CAMINO TRONCAL|LA CRUZ|VALPARAISO
1714|COPQUECURA,619,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1715|VOLCAN,1045,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
1716|LOS CIRUELOS,3011,Metropolitana de Santi|LOS CIRUELOS|['CALERA DE TANGO', 'TALAGANTE', 'HUECHURABA', 'SAN JOSE DE MAIPO', 'PUDAHUEL', 'COLINA', 'EL BOSQUE', 'SAN BERNARDO', 'MELIPILLA', 'LO BARNECHEA', 'RENCA', 'LA FLORIDA']|METROPOLITANA DE SANTIAGO
1717|VALLE HERMOSO PSJE,635,Metropolitana de |VALLE HERMOSO|['PUENTE ALTO', 'LA FLORIDA', 'PENALOLEN', 'VITACURA']|METROPOLITANA DE SANTIAGO
1718|VEINTIUNO DE MAYO, 97, SANTA CRUZ, Lib. Gral. Bernardo O'Higgins|VEINTIUNO DE MAYO|SANTA CRUZ|LIBERTADOR GENERAL BERNARDO O HIGGINS
1719|SEMINARIO,16,depto304,Metropolitana de S|SEMINARIO|['NUNOA', 'MAIPU', 'PROVIDENCIA']|METROPOLITANA DE SANTIAGO
1720|ELENA,2394,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
1721|CALLE 1,648,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1722|VASCO NUES DE BALBOA,0699,Metropolitana |DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1723|PICARQUIN,0,Lib. Gral. Bernardo O'Higgin|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1724|OCHO Y MEDIA SUR,1762,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1725|31 ORIENTE CON 5 Y MEDIO SUR BLOCK 677 D|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1726|UVA BLANCA,SN,Lib. Gral. Bernardo O'Higg|UVA BLANCA|['CHEPICA']|LIBERTADOR GENERAL BERNARDO O HIGGINS
1727|5 DE ABRIL,576,dep 101,Metropolitana de |CINCO DE ABRIL|['ALHUE', 'PUENTE ALTO', 'SAN BERNARDO', 'ISLA DE MAIPO', 'SAN RAMON']|METROPOLITANA DE SANTIAGO
1728|SOPAYAN,878,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
1729|AMADOR BARRIENTOS,015,Los Lagos|AMADOR BARRIENTOS|['OSORNO']|LOS LAGOS
1730|ANTOFAGSTA,2095,Antofagasta|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|ANTOFAGASTA
1731|SAN BERNARDINO PARCELA,10,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1732|LOS PELLINES,150,Los Lagos|LOS PELLINES|['ANCUD', 'PUERTO OCTAY', 'SAN PABLO', 'PUERTO MONTT', 'OSORNO', 'LLANQUIHUE']|LOS LAGOS
1733|AVIADOR FIGUEROA,849,Valparaíso|AVIADOR FIGUEROA|['VILLA ALEMANA']|VALPARAISO
1734|ARTURO PRAT COMINO LAS TERRASAS DE CERRI|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1735|LEONARDO DA VINCI,604,Metropolitana de S|LEONARDO DA VINCI|['LA FLORIDA', 'SAN BERNARDO', 'LAS CONDES', 'LA REINA', 'QUILICURA', 'MAIPU', 'PENAFLOR']|METROPOLITANA DE SANTIAGO
1736|RAMON FREIRE,0181,Biobío|RAMON FREIRE|['CURANILAHUE', 'HUALQUI', 'CANETE', 'CORONEL']|BIO BIO
1737|SAN PEDRO,101,Valparaíso|SAN PEDRO|['QUINTERO', 'VALPARAISO', 'ALGARROBO', 'LA LIGUA', 'QUILPUE', 'SANTA MARIA', 'SAN FELIPE', 'SAN ANTONIO', 'LLAILLAY', 'VINA DEL MAR', 'EL QUISCO', 'CONCON']|VALPARAISO
1738|EURIDICE,2155,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1739|ALAMEDA,4272,dp 810,Metropolitana de San|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1740|PJE UNO CASA,556,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1741|AVDA CARRASCAL,4675,Metropolitana de San|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1742|LUIS MATE LARRAIN,386,Metropolitana de S|LUIS MATTE LARRAIN|['LAS CONDES', 'PUENTE ALTO']|METROPOLITANA DE SANTIAGO
1743|DIEZ Y OCHO DE SEPTIEMBRE,SN,Lib. Gral. |DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1744|ANTONIO VARAS,301,Los Lagos|ANTONIO VARAS|['PUERTO MONTT', 'PUERTO VARAS', 'LOS MUERMOS', 'FRUTILLAR', 'OSORNO', 'CALBUCO']|LOS LAGOS
1745|ACONCAGUA,3428,Coquimbo|ACONCAGUA|['COQUIMBO', 'LA SERENA']|COQUIMBO
1746|ORTIZ DE ROSA,1040,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1747|AURELIO GONZALEZ,3839,Metropolitana de S|AURELIO GONZALEZ|['VITACURA']|METROPOLITANA DE SANTIAGO
1748|25 SUR 4 12 PONIENTE B,0456,Maule|VEINTICINCO SUR|['MAULE', 'TALCA']|MAULE
1749|TIERRA BLANCA CALLE NUBLE,860,Coquimbo|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|COQUIMBO
1750|PASAJE LAGO LLANQUIHUE,3514,Coquimbo|PASAJE LAGO LLANQUIHUE|['LOS VILOS']|COQUIMBO
1751|TINEO,9561,Metropolitana de Santiago|TINEO|['LA FLORIDA']|METROPOLITANA DE SANTIAGO
1752|ELRETAMO 4216,0,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1753|LAS ARAUCARIAS EL MAQUI,189,Los Lagos|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LOS LAGOS
1754|PJE ECUADIS,16,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1755|HEROE DE ATACAMA PABLO NERUDA,2132,Ataca|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1756|VILLA ORIENTE LAS GOLONDRINAS,120,Lib. G|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1757|LAGO RANCO,0162,Biobío|LAGO RANCO|['PENCO', 'TUCAPEL', 'SAN PEDRO DE LA PAZ', 'TALCAHUANO', 'NEGRETE', 'CONCEPCION', 'TOME']|BIO BIO
1758|MANSO VELASCO,465,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1759|KENEDY,686,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1760|COLO COLO,863,Biobío|COLO COLO|['TOME', 'CURANILAHUE', 'ARAUCO', 'CABRERO', 'TALCAHUANO', 'SANTA JUANA', 'LOS ALAMOS', 'CANETE', 'LEBU', 'LAJA', 'SAN PEDRO DE LA PAZ', 'HUALQUI', 'CORONEL', 'CONCEPCION', 'NACIMIENTO', 'PENCO', 'CHIGUAYANTE', 'LOS ANGELES']|BIO BIO
1761|LOS PEUMOS , 4265, PUENTE ALTO, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|PUENTE ALTO|METROPOLITANA DE SANTIAGO
1762|ANICETO MARTINEZ,740,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1763|PASAJE 1 CASA 14,0,Biobío|PASAJE EL RIO|['CANETE']|BIO BIO
1764|LOS CAVADA,280,Los Lagos|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LOS LAGOS
1765|GRANADILLO,SN,Valparaíso|GRANADILLO|['LA LIGUA']|VALPARAISO
1766|HEROE DE ATACAMA PABLO NERUDA,2132,Ataca|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1767|VILLA ORIENTE LAS GOLONDRINAS,120,Lib. G|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1768|LAGO RANCO,0162,Biobío|LAGO RANCO|['PENCO', 'TUCAPEL', 'SAN PEDRO DE LA PAZ', 'TALCAHUANO', 'NEGRETE', 'CONCEPCION', 'TOME']|BIO BIO
1769|MANSO VELASCO,465,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1770|KENEDY,686,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
